run_id,method,num_qubits,layers,steps,repeats,total_steps,status,error_message,final_energy,total_wall_s,avg_step_ms,total_wall_speedup_vs_inverse_walk,total_wall_speedup_vs_inverse_walk_cuQuantum,backend_timing_total_forward_s,backend_timing_avg_ms_per_step_forward_s,backend_timing_total_backward_s,backend_timing_avg_ms_per_step_backward_s,backend_timing_total_gradient_s,backend_timing_avg_ms_per_step_gradient_s,estimated_workspace_gib,effective_gate_fusion,pennylane_gate_structure,gpu_sample_count,gpu_telemetry_elapsed_wall_s,gpu_snapshots_collected,gpu_telemetry_note,gpu_pcie_note,gpu_index,gpu_name,gpu_fb_memory_total_mib,gpu_avg_utilization_gpu_pct,gpu_peak_utilization_gpu_pct,gpu_avg_utilization_memory_pct,gpu_peak_utilization_memory_pct,gpu_avg_power_draw_w,gpu_peak_power_draw_w,gpu_peak_temperature_c,gpu_peak_fb_memory_used_mib,gpu_peak_process_used_gpu_memory_mib,gpu_peak_clocks_sm_mhz,gpu_peak_clocks_mem_mhz,gpu_avg_sm_activity_pct,gpu_peak_sm_activity_pct,gpu_avg_sm_occupancy_pct,gpu_peak_sm_occupancy_pct,gpu_avg_tensor_activity_pct,gpu_peak_tensor_activity_pct,gpu_avg_dram_activity_pct,gpu_peak_dram_activity_pct,gpu_avg_fp64_activity_pct,gpu_peak_fp64_activity_pct,gpu_avg_fp32_activity_pct,gpu_peak_fp32_activity_pct,gpu_avg_fp16_activity_pct,gpu_peak_fp16_activity_pct,gpu_pcie_sample_count,gpu_avg_pcie_rx_kbps,gpu_peak_pcie_rx_kbps,gpu_avg_pcie_tx_kbps,gpu_peak_pcie_tx_kbps,ncu_profiled_kernel_launches,ncu_ncu_status,ncu_ncu_message,ncu_avg_launch__grid_size,ncu_peak_launch__grid_size,ncu_avg_launch__block_size,ncu_peak_launch__block_size,ncu_avg_gpu__time_duration.sum,ncu_peak_gpu__time_duration.sum,ncu_avg_sm__throughput.avg.pct_of_peak_sustained_elapsed,ncu_peak_sm__throughput.avg.pct_of_peak_sustained_elapsed,ncu_avg_sm__warps_active.avg.pct_of_peak_sustained_active,ncu_peak_sm__warps_active.avg.pct_of_peak_sustained_active,ncu_avg_smsp__warps_eligible.avg.per_cycle_active,ncu_peak_smsp__warps_eligible.avg.per_cycle_active,ncu_avg_dram__throughput.avg.pct_of_peak_sustained_elapsed,ncu_peak_dram__throughput.avg.pct_of_peak_sustained_elapsed,ncu_avg_lts__throughput.avg.pct_of_peak_sustained_elapsed,ncu_peak_lts__throughput.avg.pct_of_peak_sustained_elapsed,ncu_avg_lts__t_sector_hit_rate.pct,ncu_peak_lts__t_sector_hit_rate.pct,ncu_ncu_avg_sm_activity_pct,ncu_ncu_peak_sm_activity_pct,ncu_ncu_avg_sm_occupancy_pct,ncu_ncu_peak_sm_occupancy_pct,ncu_ncu_avg_dram_activity_pct,ncu_ncu_peak_dram_activity_pct,ncu_kernel_profiled_launches_detail,ncu_kernel_time_total_ns_detail,ncu_kernel_time_avg_ns_detail,ncu_kernel_time_peak_ns_detail
q8_l2_inverse_walk_cuQuantum,inverse_walk_cuQuantum,8,2,20,1,20,ok,,-8.82976787146263,0.2527584079944063,12.637920399720315,,1.0,,,,,,,1.52587890625e-05,,True,1,1.0716190399834886,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,0.0,0.0,4.0,4.0,29.55,29.55,41.0,1766,428,210.0,405.0,,,,,,,,,,,,,,,1,150.0,150.0,0.0,0.0,64,ok,,1.25,2.0,105.0,256.0,2233.5,4960.0,0.10125,0.4,6.66375,16.24,0.029375000000000002,0.05,0.630625,3.54,0.5159375,1.2,87.951875,97.8,0.10125,0.4,6.66375,16.24,0.630625,3.54,64,142944.0,2233.5,4960.0
q8_l2_structured_adjoint,structured_adjoint,8,2,20,1,20,ok,,-8.829767871462632,0.004900227999314666,0.2450113999657333,,51.58094848438817,,,,,,,1.52587890625e-05,,True,1,0.04586224499507807,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,0.0,0.0,0.0,0.0,102.24,102.24,46.0,1864,428,2715.0,9501.0,,,,,,,,,,,,,,,0,,,,,64,ok,,1.0,1.0,256.0,256.0,6851.5,18240.0,0.22546875,0.46,16.217031249999998,16.63,0.04671875,0.07,0.36515625,3.27,0.4825,1.18,86.364375,119.42,0.22546875,0.46,16.217031249999998,16.63,0.36515625,3.27,64,438496.0,6851.5,18240.0
q9_l2_inverse_walk_cuQuantum,inverse_walk_cuQuantum,9,2,20,1,20,ok,,-9.943036112360625,0.013706058001844212,0.6853029000922106,,1.0,,,,,,,3.0517578125e-05,,True,1,0.04613585400511511,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,3.0,3.0,0.0,0.0,104.38,104.38,47.0,1862,428,2715.0,9501.0,,,,,,,,,,,,,,,0,,,,,64,ok,,2.546875,4.0,109.0,256.0,2293.0,5408.0,0.2046875,0.82,6.92765625,16.23,0.02765625,0.05,0.65046875,3.75,0.553125,1.07,84.2646875,95.32,0.2046875,0.82,6.92765625,16.23,0.65046875,3.75,64,146752.0,2293.0,5408.0
q9_l2_structured_adjoint,structured_adjoint,9,2,20,1,20,ok,,-9.943036112360627,0.004089955007657409,0.20449775038287044,,3.3511512904623832,,,,,,,3.0517578125e-05,,True,1,0.04585986101301387,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,0.0,0.0,0.0,0.0,106.17,106.17,49.0,1860,428,2715.0,9501.0,,,,,,,,,,,,,,,0,,,,,64,ok,,1.734375,2.0,256.0,256.0,6660.5,18336.0,0.409375,0.93,16.22234375,16.63,0.04421875,0.07,0.5215625,4.09,0.48265625,1.17,85.9253125,117.08,0.409375,0.93,16.22234375,16.63,0.5215625,4.09,64,426272.0,6660.5,18336.0
q10_l2_inverse_walk_cuQuantum,inverse_walk_cuQuantum,10,2,20,1,20,ok,,-10.897627796446566,0.01580425599240698,0.790212799620349,,1.0,,,,,,,6.103515625e-05,,True,1,0.048824566998519,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,0.0,0.0,0.0,0.0,105.89,105.89,51.0,1858,428,2700.0,9501.0,,,,,,,,,,,,,,,0,,,,,64,ok,,5.203125,8.0,113.0,256.0,2314.5,5792.0,0.41812499999999997,1.68,7.18078125,16.23,0.0275,0.04,0.9646875,4.19,0.6853125,1.42,78.8209375,95.85,0.41812499999999997,1.68,7.18078125,16.23,0.9646875,4.19,64,148128.0,2314.5,5792.0
q10_l2_structured_adjoint,structured_adjoint,10,2,20,1,20,ok,,-10.897627796446558,0.005153359001269564,0.2576679500634782,,3.066787310667372,,,,,,,6.103515625e-05,,True,1,0.04547524900408462,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,10.0,10.0,1.0,1.0,107.99,107.99,52.0,1856,428,2700.0,9501.0,,,,,,,,,,,,,,,0,,,,,64,ok,,3.484375,4.0,256.0,256.0,7365.5,18272.0,0.88953125,1.84,16.29359375,16.63,0.04375,0.07,0.74828125,4.2,0.579375,1.2,83.20796874999999,102.28,0.88953125,1.84,16.29359375,16.63,0.74828125,4.2,64,471392.0,7365.5,18272.0
q11_l2_inverse_walk_cuQuantum,inverse_walk_cuQuantum,11,2,20,1,20,ok,,-11.724642125994674,0.016315120999934152,0.8157560499967076,,1.0,,,,,,,0.0001220703125,,True,1,0.05021952302195132,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,2.0,2.0,0.0,0.0,108.65,108.65,54.0,1854,428,2505.0,9501.0,,,,,,,,,,,,,,,0,,,,,64,ok,,10.75,16.0,111.0,256.0,2235.5,2592.0,0.82015625,1.21,7.0684375,16.23,0.0265625,0.04,1.6859374999999999,5.15,0.90390625,1.54,73.8015625,97.15,0.82015625,1.21,7.0684375,16.23,1.6859374999999999,5.15,64,143072.0,2235.5,2592.0
q11_l2_structured_adjoint,structured_adjoint,11,2,20,1,20,ok,,-11.724642125994666,0.005647990998113528,0.2823995499056764,,2.8886591719752257,,,,,,,0.0001220703125,,True,1,0.04459989900351502,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,11.0,11.0,0.0,0.0,108.6,108.6,54.0,1852,428,2700.0,9501.0,,,,,,,,,,,,,,,0,,,,,64,ok,,6.515625,8.0,256.0,256.0,7274.0,18272.0,1.7690625,3.65,16.2096875,16.63,0.04296875,0.07,1.15203125,3.72,0.820625,1.97,77.693125,97.48,1.7690625,3.65,16.2096875,16.63,1.15203125,3.72,64,465536.0,7274.0,18272.0
q12_l2_inverse_walk_cuQuantum,inverse_walk_cuQuantum,12,2,20,1,20,ok,,-12.874545453520575,0.01728936200379394,0.864468100189697,,1.0,,,,,,,0.000244140625,,True,1,0.050615746004041284,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,3.0,3.0,0.0,0.0,110.22,110.22,55.0,1850,428,2700.0,9501.0,,,,,,,,,,,,,,,0,,,,,64,ok,,22.0,32.0,115.0,256.0,2263.0,2528.0,1.66921875,2.38,7.3,16.23,0.0265625,0.04,3.10234375,6.9,1.38953125,2.52,67.0078125,97.96,1.66921875,2.38,7.3,16.23,3.10234375,6.9,64,144832.0,2263.0,2528.0
q12_l2_structured_adjoint,structured_adjoint,12,2,20,1,20,ok,,-12.874545453520575,0.005430144985439256,0.2715072492719628,,3.1839595535947494,,,,,,,0.000244140625,,True,1,0.039196051977341995,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,4.0,4.0,0.0,0.0,112.69,112.69,57.0,1848,428,2700.0,9501.0,,,,,,,,,,,,,,,0,,,,,64,ok,,14.734375,16.0,256.0,256.0,7599.0,18368.0,3.8596875,7.4,16.16765625,16.63,0.04484375,0.07,2.12796875,7.04,1.40515625,3.29,71.415625,98.05,3.8596875,7.4,16.16765625,16.63,2.12796875,7.04,64,486336.0,7599.0,18368.0
